ID,Title,Year,IMDb,Rotten Tomatoes,Genres,Language,Runtime
315,Defiance,2008,7.2,75/100,"Action,Drama,Sci-Fi","English,Hebrew",43
316,A Fortunate Man,2018,7.2,75/100,Drama,"Danish,German",162
317,The Death of Stalin,2017,7.2,75/100,"Comedy,Drama,History",English,107
318,2012,2009,5.8,75/100,"Action,Adventure,Sci-Fi","English,French,Tibetan,Mandarin,Russian,Hindi,Portuguese,Latin,Italian,Spanish",158
319,Underworld: Awakening,2012,6.3,74/100,"Action,Fantasy,Horror,Sci-Fi","English,Russian",88
320,Philomena,2013,7.7,74/100,"Biography,Comedy,Drama",English,98
321,Sanju,2018,8.1,74/100,"Biography,Comedy,Drama",Hindi,155
322,Nappily Ever After,2018,6.4,74/100,"Comedy,Drama,Romance",English,98
323,I Care a Lot,2021,6.3,74/100,"Comedy,Crime,Thriller",English,118
324,The Butler,2013,7.2,74/100,"Biography,Drama",English,132
325,Qarib Qarib Singlle,2017,7.1,74/100,"Comedy,Romance",Hindi,125
326,A Single Man,2009,7.5,74/100,"Drama,Romance","English,Spanish",99
327,Home,2015,6.6,74/100,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi","English,French",94
328,Zack and Miri Make a Porno,2008,6.5,74/100,"Comedy,Romance",English,101
329,Seeing Allred,2018,7,74/100,Documentary,English,96
330,Dostana,2008,6.5,74/100,"Comedy,Drama,Romance","Hindi,English",145
331,Remember Me,2010,7.1,74/100,"Animation,Adventure,Drama,Family,Fantasy,Music,Mystery","English,Spanish",105
332,Underworld: Rise of the Lycans,2009,6.6,74/100,"Action,Fantasy,Thriller",English,92
333,The Lovely Bones,2009,6.7,74/100,"Drama,Fantasy,Thriller",English,135
334,Madagascar: Escape 2 Africa,2008,6.6,74/100,"Animation,Adventure,Comedy,Family","English,Italian",89
335,No Strings Attached,2011,6.2,74/100,"Comedy,Romance","English,Ukrainian",108
336,Heroin(e),2017,6.8,74/100,"Documentary,Short",English,39
337,A Ghost Story,2017,6.9,74/100,"Drama,Fantasy,Romance","English,Spanish",92
338,Safety Not Guaranteed,2012,6.8,74/100,"Comedy,Drama,Romance",English,86
339,Game Over,2019,7.1,74/100,"Adventure,Comedy,Drama,Family,Romance,Sport","English,Brazilian Sign Language",96
340,Peppermint,2018,6.5,74/100,"Action,Crime,Drama,Thriller","English,Spanish",101
341,Have a Good Trip: Adventures in Psychedelics,2020,6.8,74/100,"Documentary,Comedy",English,85
342,Beasts of No Nation,2015,7.7,74/100,"Drama,War","English,Akan",137
343,Extinction,2018,5.8,74/100,"Action,Drama,Sci-Fi,Thriller",English,95
344,Nobody Knows I'm Here,2020,6.5,74/100,"Drama,Music","Spanish,English",91
345,ARQ,2016,6.4,74/100,"Action,Sci-Fi,Thriller",English,88
346,Ali's Wedding,2017,6.9,74/100,"Comedy,Drama,Romance","English,Arabic,Persian",110
347,Bo Burnham: Make Happy,2016,8.4,74/100,"Comedy,Music",English,60
348,Mank,2020,6.9,74/100,"Biography,Comedy,Drama","English,German,Latin",131
349,"Extremely Wicked, Shockingly Evil and Vile",2019,6.7,74/100,"Biography,Crime,Drama,Thriller",English,110
350,Due Date,2010,6.5,74/100,"Comedy,Drama","English,Spanish",95
351,Between Two Ferns: The Movie,2019,6.1,74/100,Comedy,English,82
352,Ip Man 2,2010,7.5,74/100,"Action,Biography,Drama,History","Cantonese,Chinese,English",108
353,Mirage,2018,7.4,74/100,"Drama,Fantasy,Mystery,Romance,Thriller",Spanish,128
354,Puss in Boots,2011,6.6,74/100,"Animation,Adventure,Comedy,Family,Fantasy","English,Spanish",90
355,Austin Powers in Goldmember,2002,6.2,74/100,"Action,Adventure,Comedy,Crime","English,Japanese,German,French",94
356,The Kissing Booth,2018,6,73/100,"Comedy,Romance",English,105
357,Hush,2016,6.6,73/100,"Horror,Thriller","English,American Sign Language",82
358,Lost Bullet,2020,6.2,73/100,"Action,Crime,Thriller",French,92
359,Dil Chahta Hai,2001,8.1,73/100,"Comedy,Drama,Romance",Hindi,183
360,Election,1999,7.2,73/100,"Comedy,Drama,Romance","English,Spanish",103
361,Soni,2019,6.9,73/100,"Crime,Drama",English,110
362,BÄhubali: The Beginning,2015,8.4,73/100,"Action,Drama","Telugu,Tamil",159
363,Killing Them Softly,2012,6.2,73/100,"Crime,Drama,Thriller",English,97
364,Swordfish,2001,6.5,73/100,"Action,Crime,Thriller","English,German",99
365,Wish Dragon,2021,7.2,73/100,"Animation,Adventure,Comedy,Family,Fantasy",English,98
366,Raees,2017,6.8,73/100,"Action,Crime,Drama",Hindi,143
367,Let It Snow,2019,5.8,73/100,"Comedy,Romance",English,92
368,The Babysitter: Killer Queen,2020,5.8,73/100,"Comedy,Horror",English,101
369,Hardcore Henry,2015,6.7,73/100,"Action,Adventure,Sci-Fi,Thriller","English,Russian",96
370,Tig Notaro: Happy To Be Here,2018,6.7,73/100,Comedy,English,58
371,Spelling the Dream,2020,6.9,73/100,Documentary,English,82
372,Knock Down the House,2019,7.1,73/100,Documentary,English,87
373,Resident Evil: Extinction,2007,6.2,73/100,"Action,Horror,Sci-Fi",English,94
374,Polar,2019,6.3,73/100,"Action,Crime,Drama,Thriller","English,Russian",118
375,Saving Capitalism,2017,6.8,73/100,Documentary,English,73
376,The Untold Tales of Armistead Maupin,2017,7.3,73/100,Documentary,English,91
377,The Mitchells vs. The Machines,2021,7.7,73/100,"Comedy,Talk-Show",English,138
378,Spenser Confidential,2020,6.2,73/100,"Action,Comedy,Crime,Drama,Mystery,Thriller","English,Hindi",111
379,Psychokinesis,2018,5.9,73/100,"Action,Comedy,Fantasy",Korean,101
380,Monsters vs Aliens,2009,6.4,73/100,"Short,Comedy,Family,Fantasy",,
381,Twilight,2008,5.2,73/100,"Drama,Fantasy,Romance",English,122
382,Self/less,2015,6.5,73/100,"Action,Mystery,Sci-Fi,Thriller",English,117
383,The Highwaymen,2019,6.9,73/100,"Biography,Crime,Drama,Mystery,Thriller","English,Spanish",132
384,ParaNorman,2012,7,73/100,"Animation,Adventure,Comedy,Family,Fantasy,Mystery",English,92
385,Holidate,2020,6.9,73/100,"Comedy,Romance","English,Mandarin",104
386,Fear Street Part Two: 1978,2021,6.8,73/100,"Drama,Horror,Mystery",English,109
387,Pee-wee's Big Holiday,2016,6.1,73/100,"Comedy,Family","English,Spanish",90
388,Gunpowder Milkshake,2021,6,73/100,"Action,Adventure,Thriller","English,Russian",114
389,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,6.7,73/100,"Comedy,Music,Musical,Romance",English,54
390,I Am Not Your Negro,2017,7.9,73/100,"Documentary,History","English,French",93
391,Midnight Special,2016,6.6,73/100,"Drama,Mystery,Sci-Fi,Thriller",English,112
392,Layla M.,2016,6.7,73/100,Drama,"Arabic,English,Dutch",98
393,Homefront,2013,6.5,73/100,"Action,Crime,Thriller",English,100
394,The Squid and the Whale,2005,7.3,73/100,"Comedy,Drama",English,81
395,Comedian,2002,6.9,73/100,"Documentary,Comedy",English,82
396,No Escape,2015,6.8,73/100,"Action,Thriller","English,French,Thai,Khmer,Mandarin",103
397,Mercury 13,2018,6.9,73/100,Documentary,English,78
398,The Professor and the Madman,2019,7.3,73/100,"Biography,Drama",English,124
399,Asperger's Are Us,2016,6.7,73/100,"Documentary,Comedy,Drama",English,82
400,The Garden of Words,2013,7.5,73/100,"Animation,Drama,Romance","Japanese,English",46
401,Fractured,2019,6.4,73/100,"Mystery,Thriller",English,99
402,The Queen,2006,7.3,73/100,"Biography,Drama,History","English,German,French",103
403,The Whole Nine Yards,2000,6.9,72/100,"Comedy,Crime","English,French,Spanish",98
404,E-Team,2014,7.1,72/100,"Documentary,War","English,German,Arabic,Russian,French",88
405,The Discovery,2017,6.3,72/100,"Drama,Romance,Sci-Fi,Thriller",English,102
406,The Strangers,2008,6.2,72/100,"Horror,Mystery,Thriller",English,86
407,Penguins of Madagascar,2014,6.7,72/100,"Animation,Adventure,Comedy,Family,Sci-Fi","Spanish,Armenian,English,Italian,Mandarin",92
408,She's Out of My League,2010,6.4,72/100,"Comedy,Romance","English,Ukrainian",104
409,Voyeur,2017,6.2,72/100,"Drama,Romance","English,Italian",98
410,It Comes at Night,2017,6.2,72/100,"Horror,Mystery,Sci-Fi",English,91
411,The Manchurian Candidate,2004,6.6,72/100,"Drama,Mystery,Sci-Fi,Thriller",English,129
412,Bon Cop Bad Cop 2,2017,6.7,72/100,"Action,Comedy,Crime","English,French",126
413,Hot Rod,2007,6.7,72/100,"Comedy,Sport",English,88
414,The BFG,2016,6.4,72/100,"Adventure,Family,Fantasy","English,Hindi",117
415,Sunday's Illness,2018,6.9,72/100,Drama,"Spanish,French,Italian",113
416,The Lorax,2012,6.4,72/100,"Animation,Adventure,Comedy,Drama,Family,Fantasy,Musical",English,86
417,Win It All,2017,6.2,72/100,Comedy,English,88
418,Mile 22,2018,6.1,72/100,"Action,Thriller","English,Russian,Indonesian,Filipino",94
419,Tenacious D in The Pick of Destiny,2006,6.8,72/100,"Adventure,Comedy,Music,Musical",English,93
420,The Sum of All Fears,2002,6.4,72/100,"Action,Drama,Thriller,War","English,Russian,Ukrainian,German,Arabic",124
421,G.O.R.A.,2004,8,72/100,"Adventure,Comedy,Sci-Fi","Turkish,English",127
422,The Perfect Date,2019,5.8,72/100,"Comedy,Romance",English,89
423,Code 8,2019,6.1,72/100,"Action,Crime,Drama,Sci-Fi,Thriller",English,98
424,Cowspiracy: The Sustainability Secret,2014,8.2,72/100,Documentary,English,90
425,Life As We Know It,2010,6.5,72/100,"Comedy,Drama,Romance",English,115
426,American Assassin,2017,6.2,72/100,"Action,Thriller","English,Spanish,Arabic,Polish,Turkish,Russian,Italian,Persian",111
427,August: Osage County,2013,7.2,72/100,"Comedy,Drama",English,121
428,Kuch Kuch Hota Hai,1998,7.6,72/100,"Comedy,Drama,Musical,Romance",Hindi,177
429,Who Am I,2014,7.5,72/100,"Crime,Drama,Mystery,Sci-Fi,Thriller","German,English",102
430,Free State of Jones,2016,6.9,72/100,"Action,Biography,Drama,History,War,Western",English,139
431,Beast Stalker,2008,6.8,72/100,"Action,Thriller",Cantonese,109
432,Dark Skies,2013,6.3,72/100,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",English,86
433,Safe Haven,2013,6.7,72/100,"Drama,Romance,Thriller","English,Portuguese",115
434,BÄhubali 2: The Conclusion,2017,8.2,72/100,"Action,Drama","Hindi,Telugu,Tamil",167
435,Outlaw King,2018,6.9,72/100,"Action,Biography,Drama,History,War","English,French,Scottish Gaelic,Latin",121
436,Cloudy with a Chance of Meatballs 2,2013,6.4,72/100,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi","English,Chinese",95
437,Turbo,2013,6.4,72/100,"Animation,Adventure,Comedy,Family,Sci-Fi,Sport",English,96
438,G.I. Joe: The Rise of Cobra,2009,5.8,72/100,"Action,Adventure,Sci-Fi,Thriller","English,French,Scottish Gaelic",118
439,Horns,2013,6.5,72/100,"Comedy,Crime,Drama,Fantasy,Mystery,Thriller",English,120
440,Drishyam,2015,8.4,72/100,"Crime,Drama,Mystery,Thriller","Hindi,English",163
441,Triple Frontier,2019,6.4,72/100,"Action,Adventure,Crime,Thriller","English,Spanish,Portuguese",125
442,"Hail, Caesar!",2016,6.3,72/100,"Comedy,Drama,Music,Mystery",English,106
443,The Ice Road,2021,5.6,72/100,"Action,Adventure,Drama,Thriller",English,109
444,Monster House,2006,6.5,72/100,"Animation,Comedy,Family,Fantasy,Mystery",English,91
445,Freaks,2019,6.7,72/100,"Drama,Mystery,Sci-Fi,Thriller",English,105
446,Felon,2008,7.4,72/100,Thriller,English,104
447,Horse Girl,2020,6,72/100,"Drama,Mystery,Thriller",English,103
448,A Christmas Prince,2017,5.8,72/100,"Comedy,Family,Romance",English,92
449,Hillbilly Elegy,2020,6.7,72/100,Drama,English,116
450,American Ultra,2015,6.1,72/100,"Action,Comedy","English,Mandarin",96
451,First Match,2018,6.4,72/100,"Drama,Sport",English,102
452,The Pelican Brief,1993,6,72/100,"Crime,Drama,Mystery,Thriller",English,141
453,The Tourist,2010,6.1,72/100,"Action,Thriller","English,French,Italian,Russian,Spanish",103
454,The Dawn Wall,2017,8.1,72/100,"Documentary,Biography,Sport",English,100
455,I'm Thinking of Ending Things,2020,6.6,71/100,"Drama,Thriller","English,Spanish",134
456,Shutter,2004,7.1,71/100,"Horror,Mystery,Thriller",Thai,97
457,Surf's Up,2007,6.7,71/100,"Animation,Comedy,Family,Sport",English,85
458,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,71/100,"Adventure,Drama,Fantasy,Romance",English,115
459,Jagga Jasoos,2017,6.5,71/100,"Action,Adventure,Comedy,Musical,Mystery",Hindi,161
460,The Burial of Kojo,2018,6.5,71/100,"Drama,Thriller","Akan,English",80
461,My Best Friend's Wedding,1997,6.3,71/100,"Comedy,Drama,Romance","English,French,Italian",105
462,Bee Movie,2007,6.5,71/100,"Animation,Adventure,Comedy,Family",English,91
463,Seoul Searching,2015,7.1,71/100,"Comedy,Drama,Music,Romance","English,Korean,German",105
464,Before I Fall,2017,6.5,71/100,"Drama,Fantasy,Mystery",English,98
465,The Babysitter,2017,6.3,71/100,"Comedy,Horror",English,85
466,After,2019,5.3,71/100,"Drama,Romance",English,105
467,"As Above, So Below",2014,6.2,71/100,"Horror,Mystery,Thriller","English,French,Latin",93
468,Bo Burnham: What.,2013,8.4,71/100,"Comedy,Music",English,60
469,Stree,2018,7.6,71/100,"Comedy,Horror",Hindi,128
470,Velvet Buzzsaw,2019,5.7,71/100,"Horror,Mystery,Thriller","English,Chinese,Italian",113
471,Savages,2012,6.5,71/100,"Crime,Thriller","English,Spanish",131
472,Jupiter Ascending,2015,5.3,71/100,"Action,Adventure,Sci-Fi","English,Russian",127
473,Spectral,2016,6.3,71/100,"Action,Adventure,Sci-Fi","English,Russian,Romanian,Slovenian",107
474,Resident Evil: Afterlife,2010,5.8,71/100,"Action,Adventure,Horror,Sci-Fi","English,Japanese,Spanish",96
475,Accepted,2006,6.4,71/100,Comedy,English,93
476,"Live Twice, Love Once",2019,7.2,71/100,"Comedy,Drama","Spanish,Catalan",101
477,Iliza Shlesinger: Elder Millennial,2018,7.2,71/100,Comedy,English,72
478,Zindagi Na Milegi Dobara,2011,8.2,71/100,"Comedy,Drama","Hindi,English,Spanish",155
479,Free Fire,2017,6.4,71/100,"Action,Comedy,Crime,Thriller",English,91
480,Soorma,2018,7.4,71/100,"Biography,Drama,Sport",Hindi,131
481,The Zookeeper's Wife,2017,7,71/100,"Biography,Drama,History,War","English,German,Hebrew",127
482,Time Share,2018,6,71/100,"Drama,Mystery,Thriller","Spanish,English",96
483,The Outpost,2019,6.8,71/100,"Action,Adventure,Drama,Fantasy",English,44
484,Kabir Singh,2019,7.1,71/100,"Action,Drama,Romance",Hindi,173
485,Homecoming: A Film by BeyoncÃ©,2019,7.5,71/100,"Documentary,Music",English,137
486,Jerry Seinfeld: 23 Hours to Kill,2020,6.7,71/100,Comedy,English,60
487,Ip Man 4: The Finale,2019,7,71/100,"Action,Biography,Drama,History","Cantonese,English,Mandarin",107
488,The Laundromat,2019,6.3,71/100,"Comedy,Crime,Drama,History","English,Mandarin,Spanish,Russian",95
489,The 12th Man,2017,7.4,71/100,"Drama,History,Thriller,War","Norwegian,German,English,Saami",135
490,Bad Trip,2020,6.6,71/100,Comedy,English,86
491,Mr. Peabody & Sherman,2014,6.3,71/100,"Animation,Adventure,Comedy,Family,Sci-Fi",English,92
492,Ip Man 3,2015,7.1,71/100,"Action,Biography,Drama,History","Cantonese,English",105
493,Rang De Basanti,2006,8.1,71/100,"Comedy,Crime,Drama",Hindi,167
494,The Midnight Sky,2020,5.6,71/100,"Drama,Fantasy,Sci-Fi,Thriller",English,118
495,Mr. Right,2016,6.4,71/100,"Action,Comedy,Romance",English,95
496,White Christmas,1954,7.6,71/100,"Comedy,Musical,Romance",English,120
497,Synchronic,2020,6.2,71/100,"Drama,Sci-Fi,Thriller",English,102
498,Adrift,2018,6.6,70/100,"Action,Adventure,Biography,Drama,Romance,Thriller","English,French",96
499,The Game Changers,2019,7.9,70/100,Documentary,English,86
500,Michelle Wolf: Joke Show,2019,7.2,70/100,Comedy,English,59
501,Da 5 Bloods,2020,6.5,70/100,"Adventure,Drama,War","English,Finnish,French,Vietnamese",154
502,The American,2010,6.3,70/100,"Crime,Drama,Thriller","English,Italian",105
503,The Best of Enemies,2019,7.2,70/100,"Biography,Drama,History",English,133
504,Forgotten,2017,7.54,70/100,"Horror,Mystery,Thriller",Korean,108
505,I Don't Feel at Home in This World Anymore,2017,6.9,70/100,"Comedy,Crime,Drama,Thriller",English,93
506,Lupin the Third: The Castle of Cagliostro,1979,7.6,70/100,"Animation,Action,Adventure,Fantasy","Japanese,English,French",100
507,Never Back Down,2008,6.6,70/100,"Action,Drama,Sport",English,113
508,Fear Street: 1666,2021,6.7,70/100,"Horror,Mystery",English,114
509,Zathura: A Space Adventure,2005,6.2,70/100,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",English,101
510,"Faith, Hope & Love",2019,6.2,70/100,"Comedy,Romance",English,106
511,2 States,2014,6.9,70/100,"Comedy,Drama,Romance",Hindi,149
512,Grass is Greener,2019,7.2,70/100,Documentary,,97
513,May the Devil Take You,2018,6,70/100,"Horror,Mystery,Thriller",Indonesian,110
514,Double Jeopardy,1999,6.5,70/100,"Crime,Drama,Mystery,Thriller",English,105
515,Ava,2020,5,70/100,"Action,Crime,Drama,Thriller","English,German,French,Chinese",96
516,Barfi!,2012,8.1,70/100,"Comedy,Drama,Romance",Hindi,151
517,Barry,2016,5.8,70/100,"Action,Comedy,Crime,Drama",English,30
518,Go!,2020,5.9,70/100,"Comedy,Crime",English,102
519,Everybody's Fine,2009,7.1,70/100,"Adventure,Drama",English,100
520,Monty Python Live at the Hollywood Bowl,1982,7.9,70/100,"Documentary,Comedy,Musical",English,77
521,Parker,2013,6.2,70/100,"Action,Crime,Thriller",English,118
522,The Karate Kid Part II,1986,6.1,70/100,"Action,Family,Sport",English,113
523,System Crasher,2019,7.8,70/100,Drama,"German,English",125
524,Under Siege,1992,6.5,70/100,"Action,Thriller","English,Italian",103
525,Brain on Fire,2017,6.6,70/100,"Biography,Drama",English,88
526,The Butterfly's Dream,2013,7.7,70/100,"Biography,Drama,History,Romance",Turkish,138
527,The Wrong Missy,2020,5.7,70/100,"Comedy,Romance",English,90
528,Battle: Los Angeles,2011,5.7,70/100,"Action,Sci-Fi","English,Ukrainian",116
529,Pari,2018,6.6,70/100,"Fantasy,Horror,Mystery",Hindi,136
530,The Beguiled,2017,6.3,70/100,"Drama,Thriller,War","English,French",93
531,Batman: The Killing Joke,2016,6.4,70/100,"Animation,Action,Crime,Drama,Thriller",English,76
532,Sex Drive,2008,6.5,70/100,"Comedy,Romance",English,109
533,Mosul,2020,7.2,70/100,"Action,Drama,War","Arabic,English",86
534,PokÃ©mon the Movie: The Power of Us,2018,6.3,70/100,"Animation,Action,Adventure,Family,Fantasy,Sci-Fi",Japanese,100
535,Underdogs,2013,6.5,70/100,"Comedy,Sport","English,German",92
536,The Little Rascals,1994,6.3,70/100,"Comedy,Family,Romance",English,82
537,Fun with Dick and Jane,2005,6.2,70/100,"Comedy,Crime","English,Spanish",90
538,Ballerina,2016,6.8,70/100,"Animation,Adventure,Comedy,Family,Music",English,89
539,Hasan Minhaj: Homecoming King,2017,8.3,70/100,Comedy,English,73
540,An Easy Girl,2019,5.6,70/100,"Comedy,Drama","French,Italian,English",92
541,Highway,2014,7.6,70/100,"Crime,Drama,Romance",Hindi,133
542,The Book of Henry,2017,6.6,70/100,"Crime,Drama,Thriller",English,105
543,Reversing Roe,2018,7.58,70/100,Documentary,English,99
544,The Clovehitch Killer,2018,6.6,70/100,"Crime,Drama,Mystery,Thriller",English,109
545,There's Something in the Water,2019,6.7,70/100,Documentary,English,73
546,Stuart Little,1999,5.9,70/100,"Adventure,Comedy,Family,Fantasy","English,Dutch",84
547,Barakah Meets Barakah,2016,6.3,70/100,"Comedy,Romance",Arabic,88
548,Starsky & Hutch,2004,6.1,70/100,"Action,Crime,Drama,Mystery",,60
549,Loving,2016,7,70/100,"Drama,Romance",Spanish,105
550,Haider,2014,8.1,70/100,"Action,Crime,Drama,Thriller",Hindi,160
551,The Twilight Saga: Eclipse,2010,5,70/100,"Action,Adventure,Drama,Fantasy,Romance,Thriller",English,124
552,Triple 9,2016,6.3,70/100,"Action,Crime,Thriller","English,Spanish,Russian",115
553,Spanglish,2004,6.4,70/100,"Comedy,Drama,Romance","English,Spanish",131
554,The Spiderwick Chronicles,2008,6.5,70/100,"Action,Adventure,Drama,Family,Fantasy,Thriller",English,96
555,Kahaani,2012,8.1,69/100,"Mystery,Thriller",Hindi,122
556,Lady J,2018,6.9,69/100,"Drama,Romance",French,109
557,The Interpreter,2005,6.4,69/100,"Crime,Mystery,Thriller","English,Aboriginal,French,Portuguese",128
558,"Frankenstein's Monster's Monster, Frankenstein",2019,5.9,69/100,Comedy,English,32
559,Not Another Teen Movie,2001,5.7,69/100,Comedy,English,89
560,The Cloverfield Paradox,2018,5.5,69/100,"Action,Horror,Sci-Fi,Thriller","English,Mandarin,German",102
561,Disclosure,2020,8.2,69/100,"Drama,Thriller",English,128
562,Hot Girls Wanted,2015,6.1,69/100,Documentary,English,84
563,Dead Man Down,2013,6.5,69/100,"Action,Crime,Drama,Thriller","English,French,Albanian,Spanish,Hungarian",118
564,Fear Street: 1994,2021,6.2,69/100,"Drama,Horror,Mystery",English,107
565,Kill the Irishman,2011,7.1,69/100,"Biography,Crime,Drama",English,106
566,Set It Up,2018,6.5,69/100,"Comedy,Romance",English,105
567,Case 39,2009,6.2,69/100,"Horror,Mystery,Thriller",English,109
568,Outside the Wire,2021,5.4,69/100,"Action,Adventure,Fantasy,Sci-Fi","English,Ukrainian,Russian",114
569,Steal a Pencil for Me,2007,7.5,69/100,"Documentary,Romance","English,Dutch",94
570,Project Power,2020,6,69/100,"Action,Crime,Sci-Fi,Thriller","English,Spanish",113
571,High Strung Free Dance,2018,6.9,69/100,"Music,Romance",English,103
572,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,69/100,"Adventure,Drama,Fantasy,Romance,Thriller","English,Portuguese",117
573,Marc Maron: Too Real,2017,7.2,69/100,Comedy,English,70
574,The Polka King,2017,5.9,69/100,"Biography,Comedy,Drama,Music",English,95
575,6 Balloons,2018,5.9,69/100,Drama,English,74
576,Amanda Knox,2016,6.9,69/100,"Documentary,Crime","English,Italian",92
577,At Eternity's Gate,2018,6.9,69/100,"Biography,Drama","English,French",111
578,Anon,2018,6.1,69/100,"Crime,Sci-Fi,Thriller",English,100
579,3 Days to Kill,2014,6.2,69/100,"Action,Drama,Thriller","English,French,German,Serbian",117
580,To the Bone,2017,6.8,69/100,Drama,English,107
581,Trollhunters: Rise of the Titans,2021,7,69/100,"Animation,Action,Adventure,Comedy,Drama,Family,Fantasy",English,104
582,Mowgli: Legend of the Jungle,2018,6.5,69/100,"Adventure,Drama,Fantasy","English,Hindi",104
583,Mother's Day,2016,5.7,69/100,"Comedy,Drama,Romance","English,Spanish",118
584,Mortal Kombat,1995,5.8,69/100,"Action,Adventure,Fantasy,Sci-Fi,Thriller","English,Japanese,Chinese",110
585,Creep,2014,6.3,69/100,"Horror,Thriller",English,77
586,Death to 2020,2020,6.8,69/100,Comedy,English,70
587,Operation Finale,2018,6.6,69/100,"Biography,Drama,History,Thriller,War","English,Spanish,French,German,Hebrew",122
588,The Great Hack,2019,7,69/100,"Documentary,Biography,History",English,114
589,The Land of Steady Habits,2018,6.2,69/100,"Comedy,Drama",English,98
590,Suffragette,2015,6.9,69/100,"Drama,History",English,106
591,Wildlife,2018,6.8,69/100,Drama,English,105
592,War Machine,2017,6,69/100,"Comedy,Drama,War","English,Pashto",122
593,Bending the Arc,2017,7.8,69/100,Documentary,English,102
594,Kill the Messenger,2014,6.9,69/100,"Biography,Crime,Drama,Mystery,Thriller",English,112
595,Feminists: What Were They Thinking?,2018,7,69/100,Documentary,English,86
596,If Anything Happens I Love You,2020,7.8,69/100,"Animation,Short,Drama",None,13
597,Nobody Speak: Trials of the Free Press,2017,6.5,69/100,Documentary,English,95
598,Sand Castle,2017,6.3,69/100,"Action,Drama,War","English,Arabic",113
599,The Forest of Love,2019,6.3,69/100,"Crime,Drama,Horror,Thriller","Japanese,English",151
600,Kabhi Alvida Naa Kehna,2006,6.1,69/100,"Drama,Romance","Hindi,English",193
601,Fatherhood,2021,6.7,69/100,"Comedy,Drama",English,109
602,Our Idiot Brother,2011,6.4,69/100,"Comedy,Drama",English,90
603,QuiÃ©n te cantarÃ¡,2018,7,68/100,"Drama,Music,Mystery",Spanish,125
604,Takers,2010,6.2,68/100,"Action,Crime,Thriller","English,Russian",107
605,Udaan,2010,8.2,68/100,Drama,"Tamil,Hindi",153
606,City of Joy,2016,7.5,68/100,Drama,English,132
607,Under the Shadow,2016,6.9,68/100,"Drama,Fantasy,Horror,Thriller,War",Persian,84
608,The Silence of Others,2019,8,68/100,Documentary,"Spanish,English,Basque,Catalan",96
609,Nacho Libre,2006,5.8,68/100,"Comedy,Family,Sport","English,Spanish",92
610,Ninja Assassin,2009,6.3,68/100,"Action,Thriller",English,99
611,The Twilight Saga: New Moon,2009,4.7,68/100,"Adventure,Drama,Fantasy,Romance","English,Italian",130
612,Rocks,2020,7.5,68/100,Drama,English,93
613,Step Up Revolution,2012,6.4,68/100,"Drama,Music,Romance",English,99
614,Giving Voice,2020,6.7,68/100,Documentary,English,87
615,Like Father,2018,6.1,68/100,"Comedy,Drama",English,98
616,Eddie Murphy Raw,1987,7.7,68/100,"Documentary,Comedy",English,93
617,Berserk: The Golden Age Arc III - The Advent,2013,7.9,68/100,"Animation,Action,Adventure,Drama,Fantasy,Horror","Japanese,English",110
618,Aval,2017,6.8,68/100,Horror,"Telugu,Tamil,Hindi",137
619,The Promise,2016,6,68/100,"Action,Adventure,Drama,History,War","English,Armenian,German,French,Turkish",133
620,Prospect,2018,6.3,68/100,"Drama,Sci-Fi,Thriller,Western",English,100
621,Ne Zha,2019,7.5,68/100,"Animation,Action,Adventure,Family,Fantasy,Thriller","Mandarin,English",110
622,Bad Genius,2017,7.6,68/100,"Comedy,Crime,Drama,Thriller","Thai,English",130
623,Burning Sands,2017,6.1,68/100,Drama,English,96
624,Ludo,2020,7.6,68/100,"Action,Comedy,Crime,Drama",Hindi,150
625,Eat Pray Love,2010,5.8,68/100,"Biography,Drama,Romance","English,Italian,Portuguese",133
626,Circle,2015,6,68/100,"Drama,Horror,Mystery,Sci-Fi,Thriller",English,87
627,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,7.6,68/100,"Documentary,Biography,History,Music",English,142
628,Dovlatov,2018,6.4,68/100,"Biography,Drama","Russian,Spanish,Finnish",126
629,Lakshya,2004,7.9,68/100,"Action,Drama,Romance,War",Hindi,186
630,American Murder: The Family Next Door,2020,7.2,68/100,"Documentary,Crime",English,82
631,Jab We Met,2007,7.9,68/100,"Comedy,Drama,Romance",Hindi,138
632,Kuchh Bheege Alfaaz,2018,7.5,68/100,Romance,Hindi,116
633,John Mulaney: The Comeback Kid,2015,8,68/100,Comedy,English,62
634,Apostle,2018,6.3,68/100,"Drama,Fantasy,Horror,Mystery,Thriller","English,Chinese",130
635,After We Collided,2020,5.2,68/100,"Drama,Romance","English,Chinese",105
636,Mystic Pizza,1988,6.3,68/100,"Comedy,Drama,Romance",English,104
637,Middle Men,2009,6.8,68/100,"Comedy,Crime,Drama",English,105
638,To All the Boys: P.S. I Still Love You,2020,6,68/100,"Comedy,Drama,Romance",English,101
