ID,Title,Year,IMDb,Rotten Tomatoes,Genres,Language,Runtime
72,The Hateful Eight,2015,7.8,85/100,"Crime,Drama,Mystery,Thriller,Western","English,Spanish,French",168
73,Rush,2013,8.1,84/100,"Action,Biography,Drama,Sport","English,German,Italian,French,Spanish",123
74,Zombieland,2009,7.6,84/100,"Adventure,Comedy,Fantasy,Horror,Sci-Fi","English,Spanish,French",88
75,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,84/100,"Comedy,Music","English,Icelandic,Portuguese",123
76,Kapoor & Sons,2016,7.7,84/100,"Comedy,Drama,Family,Romance",Hindi,132
77,The Perfection,2018,6.2,84/100,"Drama,Horror,Music,Thriller","English,Mandarin",90
78,Dave Chappelle: Sticks & Stones,2019,8.5,84/100,Comedy,English,65
79,There Will Be Blood,2007,8.2,84/100,Drama,"English,American Sign Language",158
80,Million Dollar Baby,2004,8.1,84/100,"Drama,Sport","English,Irish",132
81,The Social Network,2010,7.7,84/100,"Biography,Drama","English,French",120
82,The Christmas Chronicles,2018,7,84/100,"Adventure,Comedy,Family,Fantasy","English,Spanish,French,Romanian",104
83,Monty Python and the Holy Grail,1975,8.2,84/100,"Adventure,Comedy,Fantasy","English,French,Latin",91
84,The Pixar Story,2007,7.8,84/100,Documentary,English,88
85,Ma Rainey's Black Bottom,2020,7,84/100,"Drama,Music",English,94
86,Calibre,2018,6.8,84/100,"Drama,Thriller",English,101
87,Silver Linings Playbook,2012,7.7,84/100,"Comedy,Drama,Romance",English,122
88,Over the Moon,2020,6.4,84/100,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi","English,Chinese",95
89,"What Happened, Miss Simone?",2015,7.6,84/100,"Documentary,Biography,Music","English,French",101
90,Nightcrawler,2014,7.8,84/100,"Crime,Drama,Thriller",English,117
91,1922,2017,6.3,84/100,"Crime,Drama,Horror,Mystery,Thriller",English,102
92,Paddleton,2019,7.2,84/100,"Comedy,Drama",English,89
93,Cargo,2017,6.3,84/100,"Drama,Horror,Sci-Fi,Thriller","English,Aboriginal",105
94,Rain Man,1988,8,83/100,Drama,"English,Italian",133
95,Cuba and the Cameraman,2017,8.3,83/100,Documentary,"English,Spanish",113
96,The Ritual,2017,6.3,83/100,"Horror,Mystery,Thriller","English,Swedish",94
97,The Hater,2020,7.1,83/100,"Drama,Thriller","Polish,English",135
98,The Edge of Democracy,2019,7.2,83/100,"Documentary,History","Portuguese,English",121
99,22-Jul,2018,6.8,83/100,"Crime,Drama,History,Thriller","English,Norwegian",143
100,Adam Sandler: 100% Fresh,2018,7.6,83/100,"Comedy,Music",English,73
101,Guru,2007,7.7,83/100,"Comedy,Drama",English,114
102,A Twelve-Year Night,2018,7.5,83/100,"Biography,Crime,Drama,History",Spanish,122
103,Dumplin',2018,6.6,83/100,"Comedy,Drama",English,110
104,The Conjuring,2013,7.5,83/100,"Horror,Mystery,Thriller","English,Latin",112
105,Marriage Story,2019,7.9,83/100,"Comedy,Drama,Romance","English,Spanish",137
106,My Octopus Teacher,2020,8.1,83/100,Documentary,English,85
107,About Time,2013,7.8,83/100,"Comedy,Drama,Fantasy,Romance,Sci-Fi",English,123
108,Hey Arnold! The Jungle Movie,2017,7.6,83/100,"Animation,Adventure,Comedy,Family,Fantasy","English,Korean",81
109,Kung Fu Panda,2008,7.6,83/100,"Animation,Action,Adventure,Comedy,Family",English,92
110,Superbad,2007,7.6,83/100,Comedy,English,113
